ocel_id;ocel_time;p_duration[s];s_co2e[kg];i_electric-from-grid-de[kWh];i_coating-material[kg];i_coating-material-waste[kg]
e_coat_231;2023-04-03 08:26:33;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_229;2023-04-03 08:26:40;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_230;2023-04-03 08:26:45;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_236;2023-04-03 08:27:25;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_233;2023-04-03 08:27:26;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_234;2023-04-03 08:27:42;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_232;2023-04-03 08:27:46;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_237;2023-04-03 08:27:46;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_235;2023-04-03 08:27:53;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_239;2023-04-03 08:28:10;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_238;2023-04-03 08:28:35;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_240;2023-04-03 08:28:37;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_242;2023-04-03 08:29:13;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_241;2023-04-03 08:29:31;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_243;2023-04-03 08:29:42;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_245;2023-04-03 08:29:45;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_244;2023-04-03 08:30:18;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_246;2023-04-03 08:30:34;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_248;2023-04-03 08:30:38;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_250;2023-04-03 08:30:42;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_247;2023-04-03 08:30:51;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_249;2023-04-03 08:31:01;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_251;2023-04-03 08:31:12;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_253;2023-04-03 08:31:54;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_255;2023-04-03 08:32:25;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_252;2023-04-03 08:32:32;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_254;2023-04-03 08:32:44;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_260;2023-04-03 08:32:54;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_256;2023-04-03 08:33:03;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_259;2023-04-03 08:33:06;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_258;2023-04-03 08:33:18;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_257;2023-04-03 08:33:36;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_263;2023-04-03 08:34:01;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_261;2023-04-03 08:34:07;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_265;2023-04-03 08:34:31;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_264;2023-04-03 08:34:58;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_262;2023-04-03 08:35:04;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_267;2023-04-03 08:35:08;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_266;2023-04-03 08:35:10;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_268;2023-04-03 08:35:14;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_269;2023-04-03 08:35:39;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_271;2023-04-03 08:36:19;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_272;2023-04-03 08:36:29;300.0;0.1751156951;0.25;0.0004;0.0001
e_coat_270;2023-04-03 08:36:57;300.0;0.1751156951;0.25;0.0004;0.0001
