ocel_id;ocel_type
o_steelpin_742;SteelPin
o_steelpin_743;SteelPin
o_steelpin_744;SteelPin
o_steelpin_745;SteelPin
o_steelpin_746;SteelPin
o_steelpin_747;SteelPin
o_steelpin_748;SteelPin
o_steelpin_749;SteelPin
o_steelpin_750;SteelPin
o_steelpin_751;SteelPin
o_steelpin_752;SteelPin
o_steelpin_753;SteelPin
o_steelpin_754;SteelPin
o_steelpin_755;SteelPin
o_steelpin_756;SteelPin
o_steelpin_757;SteelPin
o_steelpin_758;SteelPin
o_steelpin_759;SteelPin
o_steelpin_760;SteelPin
o_steelpin_761;SteelPin
o_steelpin_762;SteelPin
o_steelpin_763;SteelPin
o_steelpin_764;SteelPin
o_steelpin_765;SteelPin
o_steelpin_766;SteelPin
o_steelpin_767;SteelPin
o_steelpin_768;SteelPin
o_steelpin_769;SteelPin
o_steelpin_770;SteelPin
o_steelpin_771;SteelPin
o_steelpin_772;SteelPin
o_steelpin_773;SteelPin
o_steelpin_774;SteelPin
o_steelpin_775;SteelPin
o_steelpin_776;SteelPin
o_steelpin_777;SteelPin
o_steelpin_778;SteelPin
o_steelpin_779;SteelPin
o_steelpin_780;SteelPin
o_steelpin_781;SteelPin
o_steelpin_782;SteelPin
o_steelpin_783;SteelPin
o_steelpin_784;SteelPin
o_steelpin_785;SteelPin
o_steelpin_786;SteelPin
o_steelpin_787;SteelPin
o_steelpin_788;SteelPin
o_steelpin_789;SteelPin
o_steelpin_790;SteelPin
o_steelpin_791;SteelPin
o_steelpin_792;SteelPin
o_steelpin_793;SteelPin
o_steelpin_794;SteelPin
o_steelpin_795;SteelPin
o_steelpin_796;SteelPin
o_steelpin_797;SteelPin
o_steelpin_798;SteelPin
o_steelpin_799;SteelPin
o_steelpin_800;SteelPin
o_steelpin_801;SteelPin
o_steelpin_802;SteelPin
o_steelpin_803;SteelPin
o_steelpin_804;SteelPin
o_steelpin_805;SteelPin
o_steelpin_806;SteelPin
o_steelpin_807;SteelPin
o_steelpin_808;SteelPin
o_steelpin_809;SteelPin
o_steelpin_810;SteelPin
o_steelpin_811;SteelPin
o_steelpin_812;SteelPin
o_steelpin_813;SteelPin
o_steelpin_814;SteelPin
o_steelpin_815;SteelPin
o_steelpin_816;SteelPin
o_steelpin_817;SteelPin
o_steelpin_818;SteelPin
o_steelpin_819;SteelPin
o_steelpin_820;SteelPin
o_steelpin_821;SteelPin
o_steelpin_822;SteelPin
o_steelpin_823;SteelPin
o_steelpin_824;SteelPin
o_steelpin_825;SteelPin
o_steelpin_826;SteelPin
o_steelpin_827;SteelPin
o_steelpin_828;SteelPin
o_steelpin_829;SteelPin
o_steelpin_830;SteelPin
o_steelpin_831;SteelPin
o_steelpin_832;SteelPin
o_steelpin_833;SteelPin
o_steelpin_834;SteelPin
o_steelpin_835;SteelPin
o_steelpin_836;SteelPin
o_steelpin_837;SteelPin
o_steelpin_838;SteelPin
o_steelpin_839;SteelPin
o_steelpin_840;SteelPin
o_steelpin_841;SteelPin
o_steelpin_842;SteelPin
o_steelpin_843;SteelPin
o_steelpin_844;SteelPin
o_steelpin_845;SteelPin
o_steelpin_846;SteelPin
o_steelpin_847;SteelPin
o_steelpin_848;SteelPin
o_steelpin_849;SteelPin
o_steelpin_850;SteelPin
o_steelpin_851;SteelPin
o_steelpin_852;SteelPin
o_steelpin_853;SteelPin
o_steelpin_854;SteelPin
o_steelpin_855;SteelPin
o_steelpin_856;SteelPin
o_steelpin_857;SteelPin
o_steelpin_858;SteelPin
o_steelpin_859;SteelPin
o_steelpin_860;SteelPin
o_steelpin_861;SteelPin
o_steelpin_862;SteelPin
o_steelpin_863;SteelPin
o_steelpin_864;SteelPin
o_steelpin_865;SteelPin
o_steelpin_866;SteelPin
o_steelpin_867;SteelPin
o_steelpin_868;SteelPin
o_steelpin_869;SteelPin
o_steelpin_870;SteelPin
o_steelpin_871;SteelPin
o_steelpin_872;SteelPin
o_steelpin_873;SteelPin
o_steelpin_874;SteelPin
o_steelpin_875;SteelPin
o_steelpin_876;SteelPin
o_steelpin_877;SteelPin
o_steelpin_878;SteelPin
o_steelpin_879;SteelPin
o_steelpin_880;SteelPin
o_steelpin_881;SteelPin
o_steelpin_882;SteelPin
o_steelpin_883;SteelPin
o_steelpin_884;SteelPin
o_steelpin_885;SteelPin
o_steelpin_886;SteelPin
o_steelpin_887;SteelPin
o_steelpin_888;SteelPin
o_steelpin_889;SteelPin
o_steelpin_890;SteelPin
o_steelpin_891;SteelPin
o_steelpin_892;SteelPin
o_steelpin_893;SteelPin
o_steelpin_894;SteelPin
o_steelpin_895;SteelPin
o_steelpin_896;SteelPin
o_steelpin_897;SteelPin
o_steelpin_898;SteelPin
o_steelpin_899;SteelPin
o_steelpin_900;SteelPin
o_steelpin_901;SteelPin
o_steelpin_902;SteelPin
o_steelpin_903;SteelPin
o_steelpin_904;SteelPin
o_steelpin_905;SteelPin
o_steelpin_906;SteelPin
o_steelpin_907;SteelPin
o_steelpin_908;SteelPin
o_steelpin_909;SteelPin
o_steelpin_910;SteelPin
o_steelpin_911;SteelPin
o_steelpin_912;SteelPin
o_steelpin_913;SteelPin
o_steelpin_914;SteelPin
