ocel_source_id;ocel_target_id;ocel_qualifier
o_formedpart_210;o_steelsheet_210;created from
o_formedpart_209;o_steelsheet_209;created from
o_steelsheet_282;o_steelcoil_4;created from
o_steelsheet_283;o_steelcoil_4;created from
o_steelsheet_284;o_steelcoil_4;created from
o_formedpart_214;o_steelsheet_214;created from
o_formedpart_211;o_steelsheet_211;created from
o_steelsheet_285;o_steelcoil_4;created from
o_formedpart_215;o_steelsheet_215;created from
o_steelsheet_286;o_steelcoil_4;created from
o_formedpart_213;o_steelsheet_213;created from
o_formedpart_218;o_steelsheet_218;created from
o_steelsheet_287;o_steelcoil_4;created from
o_formedpart_212;o_steelsheet_212;created from
o_formedpart_216;o_steelsheet_216;created from
o_steelsheet_288;o_steelcoil_4;created from
o_steelsheet_289;o_steelcoil_4;created from
o_formedpart_220;o_steelsheet_220;created from
o_steelsheet_290;o_steelcoil_4;created from
o_steelsheet_291;o_steelcoil_4;created from
o_formedpart_217;o_steelsheet_217;created from
o_steelsheet_292;o_steelcoil_4;created from
o_formedpart_219;o_steelsheet_219;created from
o_steelsheet_293;o_steelcoil_4;created from
o_formedpart_222;o_steelsheet_222;created from
o_steelsheet_294;o_steelcoil_4;created from
o_formedpart_223;o_steelsheet_223;created from
o_formedpart_224;o_steelsheet_224;created from
o_steelsheet_295;o_steelcoil_4;created from
o_formedpart_221;o_steelsheet_221;created from
o_steelsheet_296;o_steelcoil_4;created from
o_formedpart_225;o_steelsheet_225;created from
o_steelsheet_297;o_steelcoil_4;created from
o_steelsheet_298;o_steelcoil_4;created from
o_formedpart_226;o_steelsheet_226;created from
o_formedpart_227;o_steelsheet_227;created from
o_steelsheet_299;o_steelcoil_4;created from
o_steelsheet_300;o_steelcoil_4;created from
o_steelsheet_301;o_steelcoil_4;created from
o_formedpart_228;o_steelsheet_228;created from
o_formedpart_231;o_steelsheet_231;created from
o_steelsheet_302;o_steelcoil_4;created from
o_formedpart_229;o_steelsheet_229;created from
o_formedpart_230;o_steelsheet_230;created from
o_steelsheet_303;o_steelcoil_4;created from
o_steelsheet_304;o_steelcoil_4;created from
o_steelsheet_305;o_steelcoil_4;created from
o_formedpart_236;o_steelsheet_236;created from
o_formedpart_233;o_steelsheet_233;created from
o_steelsheet_306;o_steelcoil_4;created from
o_formedpart_234;o_steelsheet_234;created from
o_steelsheet_307;o_steelcoil_4;created from
o_formedpart_232;o_steelsheet_232;created from
o_formedpart_237;o_steelsheet_237;created from
o_formedpart_235;o_steelsheet_235;created from
